group,setting,method,num_runs,accuracy_mean,accuracy_std,loss_mean,loss_std,macro_accuracy_mean,macro_accuracy_std,worst_class_accuracy_mean,worst_class_accuracy_std,mean_client_local_accuracy_mean,mean_client_local_accuracy_std,std_client_local_accuracy_mean,std_client_local_accuracy_std
alpha_sweep,alpha_0.1,centralized,1,0.9745,0.0,0.08492515716552734,0.0,0.9743068397593767,0.0,0.9591439688715954,0.0,0.9869430995973245,0.0,0.0050023648231776385,0.0
alpha_sweep,alpha_0.1,epoch_weighted_avg,1,0.562,0.0,1.6355102966308595,0.0,0.5550240617903763,0.0,0.0,0.0,0.6439779436271678,0.0,0.22694180642464404,0.0
alpha_sweep,alpha_0.1,regmean_epoch_weighted,1,0.7716,0.0,0.922521630859375,0.0,0.765757198814034,0.0,0.34496919917864477,0.0,0.8191390966660124,0.0,0.0841607694069857,0.0
alpha_sweep,alpha_0.1,regmean_equal,1,0.7716,0.0,0.922521630859375,0.0,0.765757198814034,0.0,0.34496919917864477,0.0,0.8191390966660124,0.0,0.0841607694069857,0.0
alpha_sweep,alpha_0.1,simple_avg,1,0.562,0.0,1.6355102966308595,0.0,0.5550240617903763,0.0,0.0,0.0,0.6439779436271678,0.0,0.22694180642464404,0.0
alpha_sweep,alpha_0.1,single_best,1,0.5304,0.0,3.0962102783203127,0.0,0.5226352327874686,0.0,0.0,0.0,,,,
alpha_sweep,alpha_0.5,centralized,1,0.9745,0.0,0.08492515716552734,0.0,0.9743068397593767,0.0,0.9591439688715954,0.0,0.984762346990981,0.0,0.0020786615400489286,0.0
alpha_sweep,alpha_0.5,epoch_weighted_avg,1,0.8168,0.0,0.6237767196655274,0.0,0.8124167833092099,0.0,0.515695067264574,0.0,0.8216315556830892,0.0,0.07145216041943114,0.0
alpha_sweep,alpha_0.5,regmean_epoch_weighted,1,0.8813,0.0,0.4003494468688965,0.0,0.8787362176744689,0.0,0.7006726457399103,0.0,0.8795692767234533,0.0,0.030453791836462758,0.0
alpha_sweep,alpha_0.5,regmean_equal,1,0.8813,0.0,0.4003494468688965,0.0,0.8787362176744689,0.0,0.7006726457399103,0.0,0.8795692767234533,0.0,0.030453791836462758,0.0
