group,setting,seed,method,accuracy,loss,macro_accuracy,worst_class_accuracy,mean_client_local_accuracy,std_client_local_accuracy
alpha_sweep,alpha_5.0,7,simple_avg,0.9211,0.2888611343383789,0.9200260379802859,0.8624229979466119,0.9183909921758973,0.005523387818603625
alpha_sweep,alpha_5.0,7,epoch_weighted_avg,0.9211,0.2888611343383789,0.9200260379802859,0.8624229979466119,0.9183909921758973,0.005523387818603625
alpha_sweep,alpha_5.0,7,regmean_equal,0.9182,0.2825079334259033,0.9169221227436017,0.8497757847533632,0.9155277487981386,0.005073345381961961
alpha_sweep,alpha_5.0,7,regmean_epoch_weighted,0.9182,0.2825079334259033,0.9169221227436017,0.8497757847533632,0.9155277487981386,0.005073345381961961
alpha_sweep,alpha_5.0,7,centralized,0.9745,0.08492515716552734,0.9743068397593767,0.9591439688715954,0.9848176572187053,0.001698683189729951
alpha_sweep,alpha_5.0,7,single_best,0.9238,0.2648374092102051,0.9229188419965579,0.8766816143497758,,
alpha_sweep,alpha_1.0,7,simple_avg,0.8816,0.42034309997558594,0.8809031951984977,0.7373540856031129,0.8781507085895038,0.02274461459941915
alpha_sweep,alpha_1.0,7,epoch_weighted_avg,0.8816,0.42034309997558594,0.8809031951984977,0.7373540856031129,0.8781507085895038,0.02274461459941915
alpha_sweep,alpha_1.0,7,regmean_equal,0.9001,0.3337500114440918,0.8987877622859767,0.830739299610895,0.8973621326031477,0.013510977317210222
alpha_sweep,alpha_1.0,7,regmean_epoch_weighted,0.9001,0.3337500114440918,0.8987877622859767,0.830739299610895,0.8973621326031477,0.013510977317210222
alpha_sweep,alpha_1.0,7,centralized,0.9745,0.08492515716552734,0.9743068397593767,0.9591439688715954,0.9847382768008366,0.0023769433161503705
alpha_sweep,alpha_1.0,7,single_best,0.9095,0.3061059013366699,0.9089549431405437,0.7974806201550387,,
alpha_sweep,alpha_0.5,7,simple_avg,0.8168,0.6237767196655274,0.8124167833092099,0.515695067264574,0.8216315556830892,0.07145216041943114
alpha_sweep,alpha_0.5,7,epoch_weighted_avg,0.8168,0.6237767196655274,0.8124167833092099,0.515695067264574,0.8216315556830892,0.07145216041943114
alpha_sweep,alpha_0.5,7,regmean_equal,0.8813,0.4003494468688965,0.8787362176744689,0.7006726457399103,0.8795692767234533,0.030453791836462758
alpha_sweep,alpha_0.5,7,regmean_epoch_weighted,0.8813,0.4003494468688965,0.8787362176744689,0.7006726457399103,0.8795692767234533,0.030453791836462758
alpha_sweep,alpha_0.5,7,centralized,0.9745,0.08492515716552734,0.9743068397593767,0.9591439688715954,0.984762346990981,0.0020786615400489286
alpha_sweep,alpha_0.5,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
